NACA 0012 AIRFOILS                              
 Alfa =   5.00000 Re =        0.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126  0.43320
   0.99912  0.00138  0.36081
   0.99774  0.00158  0.32169
   0.99626  0.00178  0.29691
   0.99468  0.00200  0.27056
   0.99298  0.00224  0.25644
   0.99114  0.00250  0.23782
   0.98913  0.00277  0.22127
   0.98693  0.00308  0.20772
   0.98450  0.00341  0.19550
   0.98178  0.00379  0.18073
   0.97870  0.00421  0.16633
   0.97516  0.00469  0.15318
   0.97101  0.00526  0.13671
   0.96604  0.00593  0.12383
   0.95989  0.00675  0.10549
   0.95197  0.00780  0.08472
   0.94130  0.00921  0.06257
   0.92631  0.01115  0.03357
   0.90539  0.01380  0.00011
   0.87894  0.01707 -0.03650
   0.84952  0.02058 -0.07204
   0.81909  0.02409 -0.10569
   0.78836  0.02751 -0.13677
   0.75755  0.03081 -0.16699
   0.72673  0.03399 -0.19629
   0.69596  0.03703 -0.22522
   0.66525  0.03993 -0.25381
   0.63464  0.04269 -0.28284
   0.60415  0.04529 -0.31236
   0.57383  0.04773 -0.34232
   0.54369  0.04998 -0.37303
   0.51377  0.05205 -0.40454
   0.48411  0.05391 -0.43750
   0.45474  0.05556 -0.47119
   0.42569  0.05698 -0.50610
   0.39701  0.05814 -0.54271
   0.36874  0.05904 -0.58065
   0.34092  0.05966 -0.61999
   0.31361  0.05998 -0.66153
   0.28688  0.05998 -0.70469
   0.26078  0.05965 -0.75022
   0.23543  0.05898 -0.79764
   0.21091  0.05796 -0.84845
   0.18738  0.05659 -0.90165
   0.16501  0.05487 -0.95874
   0.14407  0.05283 -1.01862
   0.12484  0.05053 -1.08231
   0.10765  0.04807 -1.14704
   0.09272  0.04555 -1.21426
   0.08008  0.04309 -1.27978
   0.06955  0.04076 -1.34436
   0.06081  0.03859 -1.40545
   0.05353  0.03659 -1.46464
   0.04739  0.03474 -1.52079
   0.04217  0.03303 -1.57205
   0.03766  0.03143 -1.62663
   0.03374  0.02994 -1.67507
   0.03028  0.02852 -1.72167
   0.02720  0.02717 -1.76787
   0.02445  0.02588 -1.81277
   0.02197  0.02464 -1.85089
   0.01972  0.02345 -1.89187
   0.01767  0.02228 -1.93146
   0.01580  0.02115 -1.96051
   0.01408  0.02004 -1.99404
   0.01251  0.01894 -2.02128
   0.01106  0.01787 -2.04633
   0.00972  0.01681 -2.05452
   0.00849  0.01576 -2.06518
   0.00735  0.01471 -2.06509
   0.00631  0.01367 -2.05964
   0.00536  0.01263 -2.02837
   0.00450  0.01160 -1.99707
   0.00371  0.01057 -1.94189
   0.00301  0.00954 -1.87117
   0.00238  0.00851 -1.78958
   0.00183  0.00748 -1.66921
   0.00135  0.00645 -1.54145
   0.00095  0.00542 -1.38763
   0.00062  0.00440 -1.22838
   0.00037  0.00339 -1.03899
   0.00019  0.00240 -0.85306
   0.00007  0.00143 -0.66118
   0.00001  0.00048 -0.47768
   0.00001 -0.00048 -0.29405
   0.00007 -0.00143 -0.11004
   0.00019 -0.00240  0.05989
   0.00037 -0.00339  0.22754
   0.00062 -0.00440  0.37683
   0.00095 -0.00542  0.52049
   0.00135 -0.00645  0.64045
   0.00183 -0.00748  0.74585
   0.00238 -0.00851  0.82506
   0.00301 -0.00954  0.89265
   0.00371 -0.01057  0.93950
   0.00450 -0.01160  0.97257
   0.00536 -0.01263  0.99161
   0.00631 -0.01367  0.99956
   0.00735 -0.01471  0.99784
   0.00849 -0.01576  0.98834
   0.00972 -0.01681  0.97223
   0.01106 -0.01787  0.95066
   0.01251 -0.01894  0.92513
   0.01408 -0.02004  0.89549
   0.01580 -0.02115  0.86449
   0.01767 -0.02228  0.82923
   0.01972 -0.02345  0.79473
   0.02197 -0.02464  0.75586
   0.02445 -0.02588  0.71894
   0.02720 -0.02717  0.67748
   0.03028 -0.02852  0.63812
   0.03374 -0.02994  0.59620
   0.03766 -0.03143  0.55327
   0.04217 -0.03303  0.50994
   0.04739 -0.03474  0.46533
   0.05353 -0.03659  0.41916
   0.06081 -0.03859  0.37262
   0.06955 -0.04076  0.32468
   0.08008 -0.04309  0.27666
   0.09272 -0.04555  0.22953
